symbol,announce_time,end_trade_time
AGIXUSDT,"2023,07,11,19,00","2023,07,20,09,00"
ANTUSDT,"2024,03,25,13,00","2024,04,01,09,00"
DGBUSDT,"2024,03,25,13,00","2024,04,01,09,00"
CTKUSDT,"2024,03,25,13,00","2024,04,01,09,00"
AUDIOUSDT,"2024,05,08,13,00","2024,05,16,09,00"
IDEXUSDT,"2024,05,08,13,00","2024,05,16,09,00"
SLPUSDT,"2024,05,08,13,00","2024,05,16,09,00"
GLMRUSDT,"2024,05,08,13,00","2024,05,16,09,00"
MDTUSDT,"2024,05,08,13,00","2024,05,16,09,00"
BLUEBIRDUSDT,"2024,03,19,14,00","2024,03,26,09,00"
FOOTBALLUSDT,"2024,03,19,14,00","2024,03,26,09,00"
BTSUSDT,"2022,08,09,11,00","2022,08,18,09,00"
CVCUSDT,"2022,11,28,12,00","2022,11,28,09,00"
CVXUSDT,"2024,05,06,13,00","2024,05,13,09,00"
STPTUSDT,"2024,05,06,13,00","2024,05,13,09,00"
SNTUSDT,"2024,05,06,13,00","2024,05,13,09,00"
MBLUUSDT,"2024,05,06,13,00","2024,05,13,09,00"
RADUSDT,"2024,05,06,13,00","2024,05,13,09,00"
FTTUSDT,"2022,11,13,18,00","2022,11,14,04,00"
GALUSDT,"2024,07,05,10,00","2024,07,15,03,00"
HNTUSDT,"2023,03,17,16,00","2023,03,20,09,00"
WABIUSDT,"2024,03,17,16,00","2024,03,24,03,00"
MATICUSDT,"2024,08,28,17,00","2024,09,04,09,00"
MBLUSDT,"2024,05,06,13,00","2024,05,13,09,00"
STPTUSDT,"2024,05,06,13,00","2024,05,13,09,00"
SNTUSDT,"2024,05,06,13,00","2024,05,13,09,00"
RADUUSDT,"2024,05,06,13,00","2024,05,13,09,00"
CVXUSDT,"2024,05,06,13,00","2024,05,13,09,00"
OCEANUSDT,"2024,06,17,10,00","2024,06,25,09,00"
FETUSDT,"2024,06,17,10,00","2024,06,25,09,00"
AGIXUSDT,"2024,06,17,10,00","2024,06,25,09,00"
RAYUSDT,"2022,11,14,15,00","2022,11,15,05,00"
SRMUSDT,"2022,11,14,15,00","2022,11,15,05,00"
RNDRUSDT,"2024,07,10,15,00","2024,07,22,03,00"
SCUSDT,"2022,06,10,19,00","2022,06,17,09,00"
STRAXUSDT,"2023,03,08,17,00","2024,03,15,09,00"
TOMOUSDT,"2023,11,06,18,00","2023,11,14,09,00"
WAVESUSDT,"2024,06,03,11,00","2024,06,17,03,00"
OMGUSDT,"2024,06,03,11,00","2024,06,17,03,00"
WNXMUSDT,"2024,06,03,11,00","2024,06,17,03,00"
XEMUSDT,"2024,06,03,11,00","2024,06,17,03,00"
COCOSUSDT,"2023,05,18,13,00","2023,05,25,09,00"
FRONTUSDT,"2024,08,19,19,00","2024,08,23,09,00"
